FORM_FACTOR_CODE,string,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY,1KCY
forecastPackage,string,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC
forecastName,string,807773B9B5785,80777061B1,80777061B1,80777061B1,80777061B1,807773B9B5803,80777061B1,80777061B1,80777061B1,80777061B1,807773B9B5786,80777061B1,80777061B1,807773B9B5787,80777061B1
FIXED_PERMISSIONS_FLASH_MASTER,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FINISHED_GOOD_TYPE,string,ES1,VST,VST,VST,VST,ES1,VST,VST,VST,VST_QS,ES1,VST,VST,ES1,VST_REVENUE
fgTemplate,string,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales
fgApproval,string,Approved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Approved,Unapproved,Unapproved,Approved,Unapproved
FB_S0I2_ENABLE_FUSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ETEMP_UOM,string,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ETEMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESEODCACRT_KeyTypeID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4630,4628,4628,4628,4628,4629
ESEODCA_KEYTYPEID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4630,4628,4628,4628,4628,4629
ERR_CRCT_CODE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
environmentCompRollupCode,string,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM
ENDEBUG_KEYTYPEID,string,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161,4161
EDP,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DYNAMIC_SKUING_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
DNX_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_VIRTUALIZATION,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_PIPE_IND,string,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D
DIE,string,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe,484_4xe
DDR5_FREQ,string,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
D2D_KEYTYPEID,string,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580
CSMEODCACRT_KeyTypeID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4633,4631,4631,4631,4631,4632
CSMEODCA_KEYTYPEID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4633,4631,4631,4631,4631,4632
CPUID,string,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31
CPU_TYPE_ENCODING,string,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_VPRO,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_VPRO
CPU_SPEED_IN_LOW_FREQ_MODE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
CPU_SPEED_IN_LOW_FREQ_MODE,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CPU_PCI_DEVICE_ID_DID0,string,D702,D702,D702,D702,D701,D701,D702,D702,D702,D702,D702,D702,D702,D702,D702
CPU_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPU_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
CPU_BRAND_STRING,string,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000
COPPER_POINT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
COMPUTE_DIE_STEPPING,string,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0
COMPUTE_DIE_CONFIG,string,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P,NVL_CPU_48_N2P
COMMENTS,string,NVL-H.25W.4+8.4XE.ES1 (TOP),NVL-H.25W.4+8.4XE.ES1 (SAFE) VST,NVL-H.25W.4+8.4XE (Top GT),NVL-H.25W.4+8.4XE (Top IA 5G),NVL-U.15W.4+0.4XE.ES1 (SAFE) VST,NVL-H (U).15W.4+0.4XE.ES1 (SAFE),NVL-H.25W.4+8.4XE.ES1 (TOP) VST,NVL-HX.25W.4+4.2XE.ES1 (SAFE) VST,NVL-H.25W.4+8.4XE (Top IA 4.8G),NVL-H.25W.4+8.4XE.ES1 (SAFE) VST_QS,NVL-H.25W.4+8.4XE.ES1 (SAFE),NVL-H.25W.4+8.4XE (Top Atom),NVL-H.25W.4+8.4XE (Top All),NVL-HX.25W.4+4.2XE.ES1 (SAFE),NVL-H.25W.4+8.4XE.ES1 (SAFE) VST_REVENUE
CNVI_USB2_BLUETOOTH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
CNVI_DID,string,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340
clearImnIndicator,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CACHE_QOS_ENFORCEMENT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
buildInLocation,string,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1",,,,,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1",,,,,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1",,,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1",
BOOT_GUARD_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
BASE_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
BASE_DIE_CONFIG,string,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H,BASE_H
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUDIO_CONTEXT_ENGINE_DID,string,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ALL_CORE_TURBO_FREQ_RATE,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ADSP_ENHANCED_AUDIO,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D_IMAGE_SIGNAL_PROCESSING_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
QDF_SSPEC,string,QAE6,L2NQ,L2O0,L2NZ,L2NU,QAEW,L2NP,L2NT,L2O8,L2NW,QAE5,L2O1,L2NY,QAE9,L2NX
Item_Status,string,Active,,Active,,,Active,,,Active,,Active,Active,,Active,
LINE_ITEM_GROUP,string,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG,WW13Y26_ES1_LIG
