TURBO_4_SMALL_CORE_FREQ_RATE,string,3.7,3.5,3.2,3.7,0,0,3.7,3.5,3.7,3.5,3.5,3.9,3.9,3.5,3.5
TURBO_4_CORE_FREQ_RTE,string,4.3,4.1,4.2,4.7,4.1,4.1,4.3,4.1,4.5,4.1,4.1,4.2,4.7,4.1,4.1
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,3.7,3.5,3.2,3.7,0,0,3.7,3.5,3.7,3.5,3.5,3.9,3.9,3.5,3.5
TURBO_3_CORE_FREQ_RTE,string,4.3,4.1,4.2,4.7,4.1,4.1,4.3,4.1,4.5,4.1,4.1,4.2,4.7,4.1,4.1
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_21_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_20_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_2_SMALL_CORE_FREQ_RATE,string,3.7,3.5,3.2,3.7,0,0,3.7,3.5,3.7,3.5,3.5,3.9,3.9,3.5,3.5
TURBO_2_CORE_FREQ_RTE,string,4.5,4.3,4.4,4.9,4.3,4.3,4.5,4.3,4.7,4.3,4.3,4.4,4.9,4.3,4.3
TURBO_19_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_18_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_17_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNABLE_THERMAL_DESIGN_PWR_IND,string,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,24,24,24,24,20,20,24,24,24,24,24,24,24,24,24
TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,16,16,16,16,8,8,16,12,16,16,16,16,16,12,16
TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_GEN,string,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5
THERMAL_TURBO_TEMP_UOM,string,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
THERMAL_TURBO_TEMP,string,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
THERMAL_TURBO,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_THROTTLE_UNLOCK,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_DESIGN_POWER_UOM,string,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
THERMAL_DESIGN_POWER,string,25,25,25,25,15,15,25,25,25,25,25,25,25,25,25
TDX_INDICATOR,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
SUB_VERTICAL_SEGMENT,string,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE,PERFORMANCE
SPIRAL_KEYTYPEID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMALL_CORE_SPEED,string,1.8,1.8,1.8,1.8,0.8,0.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
SMALL_CORE_MAX_TURBO_FREQ_RATE,string,3.7,3.5,3.2,3.7,0,0,3.7,3.5,3.7,3.5,3.5,3.9,3.9,3.5,3.5
SECONDARY_BIOS_REGION,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
RING_TFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_TFM_FREQ,string,4.1,3.9,3.9,4.3,3.9,3.9,4.1,3.9,4.1,3.9,3.9,3.9,4.3,3.9,3.9
RING_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_LFM_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RING_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_HFM_FREQ,string,1.8,1.8,1.8,1.8,0.8,0.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
qdfSspec,string,QAE6,L2NQ,L2O0,L2NZ,L2NU,QAEW,L2NP,L2NT,L2O8,L2NW,QAE5,L2O1,L2NY,QAE9,L2NX
PS-STEP,string,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PS-PACKAGE-TECHNOLOGY,string,FCBGAEXX,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGAEXX,FCBGA20X,FCBGA20X,FCBGAEXX,FCBGA20X
PS_VERTICAL_SEGMENT,string,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL
PS_EXTERNAL_STEP,string,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG
PROCESSOR_NUMBER,string,N/A,,,,,N/A,,,,,N/A,,,N/A,
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
primaryContact,string,11487907,10710833,10710833,10710833,10710833,11487907,10710833,10710833,10710833,10710833,11487907,10710833,10710833,11487907,10710833
PLATFORM_ID,string,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7
PHYSICAL_SMALL_CORE,string,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
PHYSICAL_CORE,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
PHYSICAL_BIG_CORE,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PEG_SPD_UNLOCK_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
PD_INDEX,string,2,2,2,2,A,A,2,1,2,2,2,2,2,1,2
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777
