TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,3,0,0,0,0,3
TURBO_24_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_23_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_22_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_21_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_20_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_2_SMALL_CORE_FREQ_RATE,string,2.8,3,3.2,3,2.8,3,2.8,3.2
TURBO_2_CORE_FREQ_RTE,string,3.5,3.7,3.7,3.7,3.5,3.7,3.5,4
TURBO_19_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_18_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_17_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_16_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,3.7,0,0,0,0,3.8
TURBO_15_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,3.7,0,0,0,0,3.8
TURBO_14_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_14_CORE_FREQUENCY_RATE,string,0,3.5,3.7,3.5,0,3.5,0,3.8
TURBO_13_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_13_CORE_FREQUENCY_RATE,string,0,3.5,3.7,3.5,0,3.5,0,3.8
TURBO_12_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_12_CORE_FREQUENCY_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_11_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_11_CORE_FREQUENCY_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TURBO_10_SMALL_CORE_FREQ_RATE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
TURBO_10_CORE_FREQUENCY_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
TUNABLE_THERMAL_DESIGN_PWR_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,24,24,24,24,24,24,24,24
TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,68,68,68,68,68,68,68,68
