TUNABLE_THERMAL_DESIGN_PWR_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,24,24,24,24,24,24,24,24,24,24
TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,16,16,16,16,16,16,16,16,16,12
TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THUNDERBOLT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THUNDERBOLT_GEN,string,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5
THERMAL_TURBO_TEMP_UOM,string,C,C,C,C,C,C,C,C,C,C
THERMAL_TURBO_TEMP,string,70,70,70,70,70,70,70,70,70,70
THERMAL_TURBO,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_THROTTLE_UNLOCK,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_DESIGN_POWER_UOM,string,W,W,W,W,W,W,W,W,W,W
THERMAL_DESIGN_POWER,string,95,55,95,55,95,65,95,55,95,65
TDX_INDICATOR,string,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED
TCONTROL,string,20,20,20,20,20,20,20,20,20,20
SUB_VERTICAL_SEGMENT,string,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV,IOT_SRV
STANDARD_MANAGEABILITY,string,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled
SPIRAL_KEYTYPEID,string,0,0,0,0,0,0,0,0,0,0
SMALL_CORE_SPEED,string,0,2.5,0,2.5,0,0,0,2.5,0,0
SMALL_CORE_MAX_TURBO_FREQ_RATE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
SECONDARY_BIOS_REGION,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
RING_TFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_TFM_FREQ,string,4.5,4.5,4.5,4.5,4.4,4.3,4.5,4.4,3.8,4.3
RING_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_LFM_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RING_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_HFM_FREQ,string,3.3,2.7,3.3,2.7,3.3,2.9,3.3,2.7,2,2.9
qdfSspec,string,L2J9,L2JA,L2PM,L2KQ,L2OH,L2JB,L2I3,L2OI,L2LM,L2JC
PS-STEP,string,B,B,B,B,B,B,B,B,B,B
PS-PACKAGE-TECHNOLOGY,string,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW,FCLGAEXW
PS_VERTICAL_SEGMENT,string,SRV,SRV,SRV,SRV,SRV,SRV,SRV,SRV,SRV,SRV
PS_EXTERNAL_STEP,string,B,B,B,B,B,B,B,B,B,B
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DISABLED,DEBUG,DISABLED,DEBUG,DEBUG,DISABLED,DEBUG,DEBUG
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,0,0,0,0,0,0,0,0,0,0
primaryContact,string,12014492,12014492,12014492,12014492,12014492,12014492,12014492,12014492,12014492,12014492
PLATFORM_ID,string,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4
PHYSICAL_SMALL_CORE,string,16,16,16,16,16,16,16,16,16,16
PHYSICAL_CORE,string,28,28,28,28,28,28,28,28,28,28
PHYSICAL_BIG_CORE,string,8,8,8,8,8,8,8,8,8,8
PEG_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
PEG_CONFIGURATION,string,"x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5"
PD_INDEX,string,5,4,5,4,5,6,5,4,5,7
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777
PCH_LPC_DID,string,6E08,6E08,6E08,6E08,6E08,6E08,6E08,6E08,6E08,6E08
PCD_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
PCD_DIE_CONFIG,string,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S
parentId_Desc,string,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product,Nova Lake S 28C Product
parentId,string,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A,1000024639A
OSSEODCACRT_KeyTypeID,string,4637,4637,4637,4637,4637,4637,4637,4637,0,4637
OSSEODCA_KEYTYPEID,string,4637,4637,4637,4637,4637,4637,4637,4637,0,4637
OC_BINS,string,0,0,0,0,0,0,0,0,0,0
NUMBER_OF_SLICES,string,4,2,4,2,8,4,4,10,4,3
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MM-TRADEMARK,string,INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R),INTEL(R) XEON(R)
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,3.6,0,3.6,0,3.6,3.2,3.6,0,2,3.2
MM-SPEC-NUMBER,string,2J9,2JA,2PM,2KQ,2OH,2JB,2I3,2OI,2LM,2JC
MM-SPEC-CODE,string,L,L,L,L,L,L,L,L,L,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PINCOUNT,string,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954
MM-PACKAGE-MKT-DESIGNATOR,string,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT
MM-ITEM-MARKET-NAME,string,807773B9B4845,807773B9B4848,807773B9B4845,807773B9B4848,807773B9B57FC,807773B9B4846,807773B9B4845,807773B9B57FD,807773B9B4845,807773B9B4847
MM-INCORP,string,N,N,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-CPU-SLOT-TYPE,string,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954
MM-CODE-NAME,string,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C,NOVA LAKE-BASE-S28C
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,24,12,24,12,24,24,24,30,24,18
MM-BRANDED,string,N,N,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4,4,4
MINIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MINIMUM_IA_SMALL_CORE_FREQ,string,0,0,0,0,0,0,0,0,0,0
MINIMUM_IA_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
MIN_THERMAL_DESIGN_POWER_RATE,string,0,0,0,0,0,0,0,0,0,0
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEMORY_TYPE_SUPPORTED,string,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5,DDR5
MEMORY_MODULES_PER_CHANNEL,string,2,2,2,2,2,2,2,2,2,2
MEMORY_MAX_QCLK_MHZ,string,3600,3200,2800,3600,2800,3200,3200,2800,3200,3200
MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2
MEMORY_CAPACITY_UOM,string,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB
MEMORY_CAPACITY,string,256,256,256,256,256,256,256,256,256,256
MEM_FREQ_UOM,string,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ
MEM_BUS_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
MEDIA_VEBOX,string,1,0,1,0,1,0,1,0,1,0
MEDIA_VDBOXES,string,1,0,1,0,1,0,1,0,1,0
MEDIA_SFC_INDICATOR,string,1,0,1,0,1,0,1,0,1,0
MEDIA_MAX_TURBO_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_MAX_TURBO_FREQ,string,1.45,0.0,1.35,0.0,1.35,0.0,1.45,0,1.35,0.0
MEDIA_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_LFM_FREQ,string,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0,0.2,0.0
MEDIA_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_HFM_FREQ,string,1.05,0,1.05,0,1.05,0.0,1.05,0,1.05,0.0
