LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.VoltageTargets,CCF,CCF,CCF,CCF,OK,CCF
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.RecoveryMode,NoRecovery,NoRecovery,NoRecovery,NoRecovery,OK,NoRecovery
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StepSize,0.01,0.01,0.01,0.01,OK,0.01
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.BaseNumbers,12335,12338,12342,12755,DIFF,<s3>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.core_freq,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,OK,FlowMatrixSingular.CR_F1_FREQ
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.ring_freq,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,DIFF,FlowMatrixSingular.CCF_F<s0>_FREQ
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.has_atomfreq,No,No,No,No,OK,No
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPreInstance.labels,static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),OK,static labels
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.SetPointsPostInstance,PSPOST.CLR_F1+nbl_on,PSPOST.CLR_F2+nbl_on,PSPOST.CLR_F3+nbl_on,PSPOST.CLR_F4+nbl_on,DIFF,PSPOST.CLR_F<s0>+nbl_on
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesForRetry.source,StartVoltagesForRetryF1,StartVoltagesForRetryF2,StartVoltagesForRetryF3,StartVoltagesForRetryF4,DIFF,StartVoltagesForRetryF<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesForRetry.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),OK,""""
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesOffset.source,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),OK,""""
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.VoltageConverter.dropout,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,F1: QA_HOT_Default; F2-F4: CCF_HIGH_SEARCH_VALUE
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT,F1_1200,F2_1500,F3_2200,F4_3000,DIFF,F<s0>_<s1>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.BypassPort,-1,-1,-1,-1,OK,-1
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.ExecutionMode,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,OK,SearchWithScoreboard
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.TestMode,SingleVmin,SingleVmin,SingleVmin,SingleVmin,OK,SingleVmin
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.VoltageTargets,CCF,CCF,CCF,CCF,OK,CCF
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.RecoveryMode,NoRecovery,NoRecovery,NoRecovery,NoRecovery,OK,NoRecovery
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StepSize,0.01,0.01,0.01,0.01,OK,0.01
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.BaseNumbers,12336,12340,12343,12754,DIFF,<s4>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.core_freq,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,OK,FlowMatrixSingular.CR_F1_FREQ
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.ring_freq,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,DIFF,FlowMatrixSingular.CCF_F<s0>_FREQ
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.has_atomfreq,No,No,No,No,OK,No
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPreInstance.labels,static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),OK,static labels
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.SetPointsPostInstance,PSPOST.CLR_F1+nbl_on,PSPOST.CLR_F2+nbl_on,PSPOST.CLR_F3+nbl_on,PSPOST.CLR_F4+nbl_on,DIFF,PSPOST.CLR_F<s0>+nbl_on
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesForRetry.source,StartVoltagesForRetryF1,StartVoltagesForRetryF2,StartVoltagesForRetryF3,StartVoltagesForRetryF4,DIFF,StartVoltagesForRetryF<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesForRetry.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),OK,""""
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesOffset.source,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),OK,""""
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.VoltageConverter.dropout,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<s0>
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,F1: QA_HOT_Default; F2-F4: CCF_HIGH_SEARCH_VALUE
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
