SCENARIO_NAME,ENABLES,TEMPERATURES,PWR_ICC_VREL_LIMITS,FREQUENCIES,AR,DYN_STATIC_RATIO,PCPS_NUM,OTHER_PWR,SCEN_MODE,ISOVOLT,VCCSA_LL,SAQG2_ENABLE
ABSOLUTE_MAX_VIRUS_DT_3,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_3,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,POR,G4
MIN_LATENCY_MBL_MAX,SA_LMPD-0000,P1,ICCMAX,MIN_LATENCY_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G2
MIN_LATENCY_DT_MAX,SA_LMPD-1000,P1,ICCMAX,MIN_LATENCY_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,ZERO,G2
GAMING_DT_HX_1_MAX,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_HX_1,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,ZERO,G2
GAMING_DT_PUSH_ATOFF,SA_LMPD-0000,P1,ICCMAX,GAMING_DT_PUSH,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,ON,OFF,POR,G4
GAMING_DT_PUSH_MAX,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_PUSH,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF,ZERO,G2
GAMING_DT_PUSH_ATOFF_MAX,SA_LMPD-0000,P1,ICCMAX,GAMING_DT_PUSH,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,ON,OFF,ZERO,G4
CREATIVE_MBL_MAX,SA_LMPD-0101,P1,ICCMAX,CREATIVE_MBL,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,ZERO,G4
CREATIVE_DT_MAX,SA_LMPD-1000,P1,ICCMAX,CREATIVE_DT,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,ZERO,G4
VPU_BENCHMARKING_MBL_1_MAX,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
VPU_BENCHMARKING_MBL_2_MAX,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
VPU_BENCHMARKING_MBL_MAX,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G2
VPU_BENCHMARKING_DT_1_MAX,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,ZERO,G4
VPU_BENCHMARKING_DT_2_MAX,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G2
MEDIA_MAX_DT_MAX,SA_LMPD-1100,P1,ICCMAX,MEDIA_MAX_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,ZERO,G2
MEDIA_MAX_MBL_MAX,SA_LMPD-0100,P1,ICCMAX,MEDIA_MAX_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
SURVIVABILITY_MBL_MAX,SA_LMPD-0111,P1,ICCMAX,SURVIVABILITY_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
SURVIVABILITY_DT_MAX,SA_LMPD-1111,P1,ICCMAX,SURVIVABILITY_DT,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
LP_ATOM_FMAX_DT_1_MAX,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_1,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G2
LP_ATOM_FMAX_DT_2_MAX,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,ZERO,G4
IPU_FMAX_MBL_MAX,SA_LMPD-0110,P1,ICCMAX,IPU_FMAX_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
ABSOLUTE_MAX_VIRUS_MBL_MAX,SA_LMPD-0111,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_MBL,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
SAICCMAX_DT_NPU_MAX,SA_LMPD-1101,P1,ICCMAX,SAICCMAX_DT_NPU,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
ABSOLUTE_MAX_VIRUS_DT_2_MAX,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_2,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,ZERO,G4
ABSOLUTE_MAX_VIRUS_DT_3_MAX,SA_LMPD-1101,P1,ICCMAX,ABSOLUTE_MAX_VIRUS_DT_3,ALL_1,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,ZERO,G4
P1UP,P1,P1,TDPUP,P1UP,P1_AR,SA_DE_2_PIPES,DISABLE,P1,P1UP,OFF,POR,G4
P1DN,P1,P1,TDPDN,P1DN,P1_AR,SA_DE_2_PIPES,DISABLE,P1,P1DN,OFF,POR,G4
