TYPE_C_PORT_4,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_3,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,2_CORE,2_CORE,2_CORE,DISABLED,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,DISABLED,2_CORE,2_CORE
TURBO_MAX_3_FREQ,string,4.4,4.2,4.9,4.4,4.2,4.8,5,4.8,4.6,4.2,4.4,4.4,4.4,4.4
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,3.2,3,3.4,3.2,0,3.2,3.5,3.4,3.2,0,3.2,3.2,3.2,3.2
TURBO_8_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_7_SMALL_CORE_FREQ_RATE,string,3.2,3,3.4,3.2,0,3.2,3.5,3.4,3.2,0,3.2,3.2,3.2,3.2
TURBO_7_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_6_SMALL_CORE_FREQ_RATE,string,3.2,3,3.4,3.2,0,3.2,3.5,3.4,3.2,0,3.2,3.2,3.2,3.2
TURBO_6_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_5_SMALL_CORE_FREQ_RATE,string,3.2,3,3.4,3.2,0,3.2,3.5,3.4,3.2,0,3.2,3.2,3.2,3.2
TURBO_5_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_4_SMALL_CORE_FREQ_RATE,string,3.4,3.2,3.6,3.4,3.2,3.4,3.7,3.6,3.4,3.2,3.4,3.4,3.4,3.4
TURBO_4_CORE_FREQ_RTE,string,4.2,4,4.7,4.2,0,4.6,4.8,4.6,4.4,4,4.2,0,4.2,4.2
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,3.4,3.2,3.6,3.4,3.2,3.4,3.7,3.6,3.4,3.2,3.4,3.4,3.4,3.4
TURBO_3_CORE_FREQ_RTE,string,4.2,4,4.7,4.2,0,4.6,4.8,4.6,4.4,4,4.2,0,4.2,4.2
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_21_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_20_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_2_SMALL_CORE_FREQ_RATE,string,3.4,3.2,3.6,3.4,3.2,3.4,3.7,3.6,3.4,3.2,3.4,3.4,3.4,3.4
TURBO_2_CORE_FREQ_RTE,string,4.3,4.1,4.8,4.3,4.2,4.7,4.9,4.7,4.5,4.1,4.3,4.4,4.3,4.3
TURBO_19_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_18_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_17_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNABLE_THERMAL_DESIGN_PWR_IND,string,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN,UPDOWN
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,12,12,12,12,12,12,12,12,12,12,12,12,12,12
