Group,Entity,UV_01,UV_02,UV_03,DIFF,UV_01_line,UV_02_line,UV_03_line,Symbolized,UV_01_symbols,UV_02_symbols,UV_03_symbols,OV_07,OV_08,OV_09,OV_07_line,OV_08_line,OV_09_line,OV_07_symbols,OV_08_symbols,OV_09_symbols,UV_01_CPU1,UV_02_CPU1,UV_03_CPU1,UV_01_CPU1_line,UV_02_CPU1_line,UV_03_CPU1_line,UV_01_CPU1_symbols,UV_02_CPU1_symbols,UV_03_CPU1_symbols,OV_07_CPU1,OV_08_CPU1,OV_09_CPU1,OV_07_CPU1_line,OV_08_CPU1_line,OV_09_CPU1_line,OV_07_CPU1_symbols,OV_08_CPU1_symbols,OV_09_CPU1_symbols
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02,,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02,,PARTIAL,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.edc,,KILL,,PARTIAL,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R-2,,Return -2,,PARTIAL,,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R-1,,Return -1,,PARTIAL,,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R0,,Return 0,,PARTIAL,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R1,,GoTo FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02,,PARTIAL,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R2,,Return 2,,PARTIAL,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R3,,Return 0,,PARTIAL,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.connectivity.R4,,Return 2,,PARTIAL,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.Patlist,,cpu_fuse_hvm_vld_vbump,,PARTIAL,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.LevelsTc,,BASE::cpu_all_bf_x_x_pkg_lvl_nom,,PARTIAL,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
