Entity,FUS_FUSEVLD_CKX_OV_09,FUS_FUSEVLD_CKX_OV_08,FUS_FUSEVLD_CKX_OV_07,DIFF,FUS_FUSEVLD_CKX_OV_09_line,FUS_FUSEVLD_CKX_OV_08_line,FUS_FUSEVLD_CKX_OV_07_line,Symbolized,FUS_FUSEVLD_CKX_OV_09_symbols,FUS_FUSEVLD_CKX_OV_08_symbols,FUS_FUSEVLD_CKX_OV_07_symbols
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.edc,False,False,False,OK,,,,False,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.BypassPort,,-1,,OK,,217,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.ConfigName,,"""VLDReadFlow""",,OK,,218,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.ConfigurationFile,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",,OK,,219,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.FailingMaskName,,"""Short_VLD,Open_VLD""",,OK,,220,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.FuseGroupToDatalog,,"""""",,OK,,221,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.LevelsTc,,"""BASE::cpu_all_bf_x_x_pkg_lvl_nom""",,OK,,215,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.PassingMaskName,,"""Overvolt_VLD""",,OK,,222,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.Patlist,,"""cpu_fuse_hvm_vld_vbump""",,OK,,214,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.RegisterName,,"__shared__::TpRule.If_CLASS_NVL_S52C(""CPU0_VLD,CPU1_VLD"",""CPU0_VLD"")",,OK,,223,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.TimingsTc,,"""BASE::pkg_cpu_fun_timing_mts100_tstprtclk50_tck100""",,OK,,216,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.param.VoltageFile,,"""./InputFiles/VLD_OV.fuseReadVoltageFile.json""",,OK,,224,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R-2,,Return -2,,OK,,1060,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R-1,,Return -1,,OK,,1066,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R0,,Return 0,,OK,,1073,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R1,,GoTo FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_OVLD_SETSHAREDSTORAGE08,,OK,,1078,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R2,,Return 0,,OK,,1085,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R3,,Return 2,,OK,,1090,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_08.connectivity.R4,,Return 2,,OK,,1095,,,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09,,,OK,949,,,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09.edc,False,False,False,OK,,,,False,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09.param.BypassPort,-1,,,OK,189,,,-1,,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09.param.ConfigName,"""VLDReadFlow""",,,OK,190,,,"""VLDReadFlow""",,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09.param.ConfigurationFile,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",,,OK,191,,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",,,
FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_09.param.FailingMaskName,"""Short_VLD,Open_VLD""",,,OK,192,,,"""Short_VLD,Open_VLD""",,,
