LevelsName,Pin,iForce,PreMeasDelay,VClampHi,VClampLo,SequenceBreak,LoLimit (HOT),HiLimit (HOT),LoLimit (COLD),HiLimit (COLD),HX28C_HVM_LoHot,HX28C_HVM_HiHot,HX28C_HVM_LoCold,HX28C_HVM_HiCold,P16C_HVM_LoHot,P16C_HVM_HiHot,P16C_HVM_LoCold,P16C_HVM_HiCold,H16C_HVM_LoHot,H16C_HVM_HiHot,H16C_HVM_LoCold,H16C_HVM_HiCold,U8C_HVM_LoHot,U8C_HVM_HiHot,U8C_HVM_LoCold,U8C_HVM_HiCold,HX28C_FC_LoHot,HX28C_FC_HiHot,HX28C_FC_LoCold,HX28C_FC_HiCold,P16C_FC_LoHot,P16C_FC_HiHot,P16C_FC_LoCold,P16C_FC_HiCold,H16C_FC_LoHot,H16C_FC_HiHot,H16C_FC_LoCold,H16C_FC_HiCold,U8C_FC_LoHot,U8C_FC_HiHot,U8C_FC_LoCold,U8C_FC_HiCold,Comment,Comment2,Comment3
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_12,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3803V,-0.2935V,-0.515141458759148V,-0.242095049611599V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_13,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3986V,-0.2964V,-0.499172026775769V,-0.270630055379586V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_14,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4081V,-0.2911V,-0.502162069854894V,-0.266368040679687V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_15,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4081V,-0.2911V,-0.502162069854894V,-0.266368040679687V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_16,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4065V,-0.2835V,-0.509158894899001V,-0.258167892541124V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_17,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4084V,-0.2278V,-0.614969251232082V,-0.141286351147624V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_18,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4084V,-0.2278V,-0.614969251232082V,-0.141286351147624V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_19,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4084V,-0.2278V,-0.614969251232082V,-0.141286351147624V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_20,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4045V,-0.2673V,-0.585981290827784V,-0.192818360391716V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_21,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4154V,-0.2729V,-0.576272776426218V,-0.202053940500699V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
